module_name;testno,test_name;passed;actual_value;expected_value
CPUSystem;4;ALUOut;0;0x0000;0x0008
CPUSystem;4;R2;0;0x0002;0x0004
CPUSystem;5;PC;0;0x3550;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
CPUSystem;8;R3;0;0xffff;0x0303
CPUSystem;9;PC;1;0x0055;0x0055
CPUSystem;10;R4;0;0x0000;0x000b
CPUSystem;11;R1;0;0x0000;0x5a5a
CPUSystem;12;SP;0;0x00ff;0x0100
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;1;0x0000;0x0000
CPUSystem;2;PC;1;0x0011;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;4;R2;1;0x0004;0x0004
CPUSystem;5;PC;1;0x364f;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;1;0xf210;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
CPUSystem;8;R3;1;0x0303;0x0303
CPUSystem;9;PC;1;0x0055;0x0055
CPUSystem;10;R4;1;0x000b;0x000b
CPUSystem;11;R1;1;0x5a5a;0x5a5a
CPUSystem;12;SP;0;0x0001;0x0100
CPUSystem;13;R1(CSL);1;0x0003;0x0003
CPUSystem;14;R2(CSR);0;0x0000;0x8001
CPUSystem;15;R3(ADC);1;0x0016;0x0016
CPUSystem;16;R4(ORR);1;0xaaaa;0xaaaa
CPUSystem;17;R1(NAND);1;0xff00;0xff00
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;1;0x0000;0x0000
CPUSystem;2;PC;1;0x0011;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;4;R2;1;0x0004;0x0004
CPUSystem;5;PC;0;0x35ff;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;1;0xf210;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
CPUSystem;8;R3;0;0xf0f0;0x0303
CPUSystem;9;PC;1;0x0055;0x0055
CPUSystem;10;R4;1;0x000b;0x000b
CPUSystem;11;R1;0;0x0000;0x5a5a
CPUSystem;12;SP;1;0x0100;0x0100
CPUSystem;13;R1(CSL);1;0x0003;0x0003
CPUSystem;14;R2(CSR);0;0x0000;0x8001
CPUSystem;15;R3(ADC);0;0x0015;0x0016
CPUSystem;16;R4(ORR);0;0x5f5f;0xaaaa
CPUSystem;17;R1(NAND);0;0x01fe;0xff00
CPUSystem;1;R2;1;0x7777;0x7777
